Data,Hora,Oficina,ID Participante,Local,Coisa,Nome,Avatar,Interface,Descrição,Objeto
2023-05-11,10:26:17,SRM,55rwXO,web,,p.jesus,panda,Interface: desenho,Fez login e iniciou os cookies com (55rwXO) (p.jesus) e (panda),
2023-05-11,10:26:17,SRM,55rwXO,web,,p.jesus,panda,Interface: desenho,Reconectou - Atualização de página - F5,
2023-05-11,10:26:25,SRM,55rwXO,web,,p.jesus,panda,Interface: socket.io,entrou na sala - Registrou participante no socket.io,
2023-05-11,10:32:09,SRM,55rwXO,web,,p.jesus,panda,Interface: login,Retornou a primeira página para alterar nome ou avatar,
2023-05-11,10:34:29,SRM,36tcEV,web,,p.Cecilia,porco,Interface: desenho,Fez login e iniciou os cookies com (36tcEV) (p.Cecilia) e (porco),
2023-05-11,10:34:29,SRM,36tcEV,web,,p.Cecilia,porco,Interface: desenho,Reconectou - Atualização de página - F5,
2023-05-11,10:34:30,SRM,36tcEV,web,,p.Cecilia,porco,Interface: socket.io,entrou na sala - Registrou participante no socket.io,
2023-05-11,10:35:10,SRM,05gmCI,web,,p.yusseli,urso,Interface: desenho,Fez login e iniciou os cookies com (05gmCI) (p.yusseli) e (urso),
2023-05-11,10:35:10,SRM,05gmCI,web,,p.yusseli,urso,Interface: desenho,Reconectou - Atualização de página - F5,
2023-05-11,10:35:11,SRM,05gmCI,web,,p.yusseli,urso,Interface: socket.io,entrou na sala - Registrou participante no socket.io,
2023-05-11,10:37:48,SRM,14obZG,srm,luva1,Samuel,gato,Interface: desenho,Fez login e iniciou os cookies com (14obZG) (Samuel) e (gato),
2023-05-11,10:37:48,SRM,14obZG,srm,luva1,Samuel,gato,Interface: desenho,Reconectou - Atualização de página - F5,
2023-05-11,10:38:18,SRM,14obZG,srm,luva1,Samuel,gato,Interface: socket.io,entrou na sala - Registrou participante no socket.io,
2023-05-11,10:38:20,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,69
2023-05-11,10:38:24,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,66
2023-05-11,10:38:28,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,73
2023-05-11,10:38:32,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,73
2023-05-11,10:38:37,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,73
2023-05-11,10:38:41,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,125
2023-05-11,10:38:45,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,116
2023-05-11,10:38:49,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,105
2023-05-11,10:39:25,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,65
2023-05-11,10:39:29,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,65
2023-05-11,10:39:33,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,80
2023-05-11,10:39:38,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,80
2023-05-11,10:39:42,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,80
2023-05-11,10:39:46,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,78
2023-05-11,10:39:50,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,95
2023-05-11,10:39:54,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,79
2023-05-11,10:39:58,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,81
2023-05-11,10:40:02,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,70
2023-05-11,10:40:06,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,74
2023-05-11,10:40:10,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,72
2023-05-11,10:40:14,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,90
2023-05-11,10:40:18,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,136
2023-05-11,10:40:22,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,114
2023-05-11,10:40:26,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,65
2023-05-11,10:40:30,SRM,27ueFI,srm,luva2,Patrick,macaco,Interface: desenho,Fez login e iniciou os cookies com (27ueFI) (Patrick) e (macaco),
2023-05-11,10:40:30,SRM,27ueFI,srm,luva2,Patrick,macaco,Interface: desenho,Reconectou - Atualização de página - F5,
2023-05-11,10:40:30,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,65
2023-05-11,10:40:34,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,80
2023-05-11,10:40:53,SRM,27ueFI,srm,luva2,Patrick,macaco,Interface: socket.io,entrou na sala - Registrou participante no socket.io,
2023-05-11,10:41:23,SRM,27ueFI,srm,luva2,Patrick,macaco,Interface: srm,luva2,69
2023-05-11,10:41:29,SRM,14obZG,srm,luva1,Samuel,gato,Interface: srm,luva1,61
